name1,name2,topic1,topic2,simi
东北地区10m分辨率主要作物分布数据集（2017-2019年）,北京市100米分辨率土地覆被落叶针叶林类型数据(1980年代),遥感数据\遥感解译产品,遥感数据\遥感解译产品,1.0
东北地区10m分辨率主要作物分布数据集（2017-2019年）,湖北省1：100万沼泽湿地数据集（2000年）,遥感数据\遥感解译产品,陆地表层\湿地,0.27273202
东北地区10m分辨率主要作物分布数据集（2017-2019年）,福建省1km栅格土地利用耕地类型数据（1995年）,遥感数据\遥感解译产品,陆地表层\土地利用/覆盖,0.32870966
东北地区10m分辨率主要作物分布数据集（2017-2019年）,湖南省1km栅格土地利用林地类型数据（2000年）,遥感数据\遥感解译产品,陆地表层\土地利用/覆盖,0.32870966
东北地区10m分辨率主要作物分布数据集（2017-2019年）,吉林省1：1400万土壤质地类型分区图(1980s),遥感数据\遥感解译产品,陆地表层\土壤:自然资源\土地资源,0.25583258
东北地区10m分辨率主要作物分布数据集（2017-2019年）,台湾省100米分辨率土地覆被河湖滩地类型数据(1980年代),遥感数据\遥感解译产品,遥感数据\遥感解译产品,1.0
东北地区10m分辨率主要作物分布数据集（2017-2019年）,海南省100米分辨率土地覆被灌丛类型数据(1980年代),遥感数据\遥感解译产品,遥感数据\遥感解译产品,1.0
东北地区10m分辨率主要作物分布数据集（2017-2019年）,河北省1km栅格土地利用城乡、工矿、居民用地类型数据（1995年）,遥感数据\遥感解译产品,陆地表层\土地利用/覆盖,0.32870966
东北地区10m分辨率主要作物分布数据集（2017-2019年）,安徽省100米分辨率土地覆被数据（2005年）,遥感数据\遥感解译产品,遥感数据\遥感解译产品,1.0
东北地区10m分辨率主要作物分布数据集（2017-2019年）,长江三角洲城市群1：400万县级行政区划数据集（1994年）,遥感数据\遥感解译产品,陆地表层\基础地理:陆地表层\区划,0.3244798
东北地区10m分辨率主要作物分布数据集（2017-2019年）,西南地区1：400万县级行政区划数据集（1996年）,遥感数据\遥感解译产品,陆地表层\基础地理:陆地表层\区划,0.3244798
东北地区10m分辨率主要作物分布数据集（2017-2019年）,陕西省100米分辨率土地覆被水田类型数据(1980年代),遥感数据\遥感解译产品,遥感数据\遥感解译产品,1.0
东北地区10m分辨率主要作物分布数据集（2017-2019年）,广东省100米分辨率土地覆被常绿阔叶林类型数据(1980年代),遥感数据\遥感解译产品,遥感数据\遥感解译产品,1.0
东北地区10m分辨率主要作物分布数据集（2017-2019年）,澳门特别行政区1km栅格土地利用城乡、工矿、居民用地类型数据（1995年）,遥感数据\遥感解译产品,陆地表层\土地利用/覆盖,0.32870966
东北地区10m分辨率主要作物分布数据集（2017-2019年）,西北地区1：400万县级行政区划数据集（1987年）,遥感数据\遥感解译产品,陆地表层\基础地理:陆地表层\区划,0.3244798
东北地区10m分辨率主要作物分布数据集（2017-2019年）,江西省1km栅格土地利用未利用地类型数据（2000年）,遥感数据\遥感解译产品,陆地表层\土地利用/覆盖,0.32870966
东北地区10m分辨率主要作物分布数据集（2017-2019年）,贵州省1：400万县级行政区划数据集（1993年）,遥感数据\遥感解译产品,陆地表层\基础地理:陆地表层\区划,0.3244798
东北地区10m分辨率主要作物分布数据集（2017-2019年）,陕西省100米分辨率土地覆被常绿针叶林类型数据(1980年代),遥感数据\遥感解译产品,遥感数据\遥感解译产品,1.0
东北地区10m分辨率主要作物分布数据集（2017-2019年）,甘肃省100米分辨率土地覆被灌丛草地类型数据(1980年代),遥感数据\遥感解译产品,遥感数据\遥感解译产品,1.0
东北地区10m分辨率主要作物分布数据集（2017-2019年）,云南省1km栅格土地利用未利用地类型数据（1980s）,遥感数据\遥感解译产品,陆地表层\土地利用/覆盖,0.32870966
东北地区10m分辨率主要作物分布数据集（2017-2019年）,,遥感数据\遥感解译产品,陆地表层\基础地理:陆地表层\区划,0.3244798
东北地区10m分辨率主要作物分布数据集（2017-2019年）,澳门特别行政区1km栅格土地利用水体类型数据（2000年）,遥感数据\遥感解译产品,陆地表层\土地利用/覆盖,0.32870966
东北地区10m分辨率主要作物分布数据集（2017-2019年）,天津市1km栅格土地利用数据（1995年）,遥感数据\遥感解译产品,陆地表层\土地利用/覆盖,0.32870966
东北地区10m分辨率主要作物分布数据集（2017-2019年）,江西省100米分辨率土地覆被裸岩类型数据(1980年代),遥感数据\遥感解译产品,遥感数据\遥感解译产品,1.0
东北地区10m分辨率主要作物分布数据集（2017-2019年）,福建省1km栅格土地利用数据（1980s）,遥感数据\遥感解译产品,陆地表层\土地利用/覆盖,0.32870966
东北地区10m分辨率主要作物分布数据集（2017-2019年）,湖北省1km栅格土地利用未利用地类型数据（1980s）,遥感数据\遥感解译产品,陆地表层\土地利用/覆盖,0.32870966
东北地区10m分辨率主要作物分布数据集（2017-2019年）,华东地区1：400万县级行政区划数据集（1984年）,遥感数据\遥感解译产品,陆地表层\基础地理:陆地表层\区划,0.3244798
东北地区10m分辨率主要作物分布数据集（2017-2019年）,山西省1km栅格土地利用林地类型数据（2000年）,遥感数据\遥感解译产品,陆地表层\土地利用/覆盖,0.32870966
东北地区10m分辨率主要作物分布数据集（2017-2019年）,中国100米分辨率土地覆被旱地类型数据(1980年代),遥感数据\遥感解译产品,遥感数据\遥感解译产品,1.0
东北地区10m分辨率主要作物分布数据集（2017-2019年）,湖北省100米分辨率土地覆被沼泽类型数据(1980年代),遥感数据\遥感解译产品,遥感数据\遥感解译产品,1.0
东北地区10m分辨率主要作物分布数据集（2017-2019年）,陕西省1km栅格土地利用草地类型数据（1995年）,遥感数据\遥感解译产品,陆地表层\土地利用/覆盖,0.32870966
东北地区10m分辨率主要作物分布数据集（2017-2019年）,安徽省1km栅格土地利用水体类型数据（1980s）,遥感数据\遥感解译产品,陆地表层\土地利用/覆盖,0.32870966
东北地区10m分辨率主要作物分布数据集（2017-2019年）,陕西省1：400万县级行政区划数据集（1981年）,遥感数据\遥感解译产品,陆地表层\基础地理:陆地表层\区划,0.3244798
东北地区10m分辨率主要作物分布数据集（2017-2019年）,京津冀城市群1：400万县级行政区划数据集（1995年）,遥感数据\遥感解译产品,陆地表层\基础地理:陆地表层\区划,0.3244798
东北地区10m分辨率主要作物分布数据集（2017-2019年）,中国分市流动人口家庭成员与收支情况数据（2015年）,遥感数据\遥感解译产品,陆地表层\人口,0.24181138
东北地区10m分辨率主要作物分布数据集（2017-2019年）,华北地区1：400万县级行政区划数据集（1987年）,遥感数据\遥感解译产品,陆地表层\基础地理:陆地表层\区划,0.3244798
东北地区10m分辨率主要作物分布数据集（2017-2019年）,重庆市公里格网降尺度降水数据(2015),遥感数据\遥感解译产品,遥感数据\反演数据产品,0.901456
东北地区10m分辨率主要作物分布数据集（2017-2019年）,重庆市公里格网植被生产有机物质量数据(2000),遥感数据\遥感解译产品,遥感数据\反演数据产品,0.901456
东北地区10m分辨率主要作物分布数据集（2017-2019年）,云南省公里格网植被释放氧气量数据(2000),遥感数据\遥感解译产品,遥感数据\反演数据产品,0.901456
东北地区10m分辨率主要作物分布数据集（2017-2019年）,四川省公里格网植被固碳量数据集(2000),遥感数据\遥感解译产品,遥感数据\反演数据产品,0.901456
东北地区10m分辨率主要作物分布数据集（2017-2019年）,贵州省公里格网植被减少泥沙淤积量数据(2000),遥感数据\遥感解译产品,遥感数据\反演数据产品,0.901456
东北地区10m分辨率主要作物分布数据集（2017-2019年）,陕西省1：400万县级行政区划数据集（1995年）,遥感数据\遥感解译产品,陆地表层\基础地理:陆地表层\区划,0.3244798
东北地区10m分辨率主要作物分布数据集（2017-2019年）,广东省1：400万县级行政区划数据集（1984年）,遥感数据\遥感解译产品,陆地表层\基础地理:陆地表层\区划,0.3244798
东北地区10m分辨率主要作物分布数据集（2017-2019年）,中国分省流动人口收入与消费特征数据（2014年）,遥感数据\遥感解译产品,陆地表层\人口,0.24181138
东北地区10m分辨率主要作物分布数据集（2017-2019年）,四川省100米分辨率土地覆被旱地类型数据(2005年),遥感数据\遥感解译产品,遥感数据\遥感解译产品,1.0
东北地区10m分辨率主要作物分布数据集（2017-2019年）,甘肃省100米分辨率土地覆被沼泽类型数据(2005年),遥感数据\遥感解译产品,遥感数据\遥感解译产品,1.0
东北地区10m分辨率主要作物分布数据集（2017-2019年）,中国各水资源一级区供水量（1997年）,遥感数据\遥感解译产品,自然资源\水资源,0.21862257
东北地区10m分辨率主要作物分布数据集（2017-2019年）,山西省100米分辨率土地覆被沙漠类型数据(2005年),遥感数据\遥感解译产品,遥感数据\遥感解译产品,1.0
东北地区10m分辨率主要作物分布数据集（2017-2019年）,甘肃省100米分辨率土地覆被河湖滩地类型数据(2005年),遥感数据\遥感解译产品,遥感数据\遥感解译产品,1.0
东北地区10m分辨率主要作物分布数据集（2017-2019年）,中国各水资源一级区供水量（2004年）,遥感数据\遥感解译产品,自然资源\水资源,0.21862257
东北地区10m分辨率主要作物分布数据集（2017-2019年）,四川省100米分辨率土地覆被荒漠草地类型数据(2005年),遥感数据\遥感解译产品,遥感数据\遥感解译产品,1.0
东北地区10m分辨率主要作物分布数据集（2017-2019年）,贵州省100米分辨率土地覆被常绿阔叶林类型数据(2005年),遥感数据\遥感解译产品,遥感数据\遥感解译产品,1.0
东北地区10m分辨率主要作物分布数据集（2017-2019年）,中国各水资源一级区水资源总量（2007年）,遥感数据\遥感解译产品,自然资源\水资源,0.21862257
东北地区10m分辨率主要作物分布数据集（2017-2019年）,台湾省100米分辨率土地覆被落叶针叶林类型数据(2005年),遥感数据\遥感解译产品,遥感数据\遥感解译产品,1.0
东北地区10m分辨率主要作物分布数据集（2017-2019年）,中国跨境河流伊洛瓦底江鱼类数据集（1964-2010年）,遥感数据\遥感解译产品,自然资源\生物资源,0.20869064
东北地区10m分辨率主要作物分布数据集（2017-2019年）,福建省100米分辨率土地覆被河湖滩地类型数据(2005年),遥感数据\遥感解译产品,遥感数据\遥感解译产品,1.0
东北地区10m分辨率主要作物分布数据集（2017-2019年）,p178r048_2x19751006-陆地卫星遥感影像,遥感数据\遥感解译产品,遥感数据\卫星影像,0.8410586
东北地区10m分辨率主要作物分布数据集（2017-2019年）,p060r016_2x19780804-陆地卫星遥感影像,遥感数据\遥感解译产品,遥感数据\卫星影像,0.8410586
东北地区10m分辨率主要作物分布数据集（2017-2019年）,江苏省1km森林生物量碳密度图(2003年),遥感数据\遥感解译产品,陆地表层\生态,0.28117198
东北地区10m分辨率主要作物分布数据集（2017-2019年）,云南省100米分辨率土地覆被冰雪类型数据(2005年),遥感数据\遥感解译产品,遥感数据\遥感解译产品,1.0
东北地区10m分辨率主要作物分布数据集（2017-2019年）,p156r025_2x19750511-陆地卫星遥感影像,遥感数据\遥感解译产品,遥感数据\卫星影像,0.8410586
东北地区10m分辨率主要作物分布数据集（2017-2019年）,p132r018_1x19730909-陆地卫星遥感影像,遥感数据\遥感解译产品,遥感数据\卫星影像,0.8410586
东北地区10m分辨率主要作物分布数据集（2017-2019年）,p121r032_5x19930827-陆地卫星遥感影像,遥感数据\遥感解译产品,遥感数据\卫星影像,0.8410586
东北地区10m分辨率主要作物分布数据集（2017-2019年）,p095r078_3x19780812-陆地卫星遥感影像,遥感数据\遥感解译产品,遥感数据\卫星影像,0.8410586
东北地区10m分辨率主要作物分布数据集（2017-2019年）,p016r052_3x19780401-陆地卫星遥感影像,遥感数据\遥感解译产品,遥感数据\卫星影像,0.8410586
东北地区10m分辨率主要作物分布数据集（2017-2019年）,p116r079_2x19791013-陆地卫星遥感影像,遥感数据\遥感解译产品,遥感数据\卫星影像,0.8410586
东北地区10m分辨率主要作物分布数据集（2017-2019年）,广东省100米分辨率土地覆被河湖滩地类型数据(2005年),遥感数据\遥感解译产品,遥感数据\遥感解译产品,1.0
东北地区10m分辨率主要作物分布数据集（2017-2019年）,p119r082_2x19790823-陆地卫星遥感影像,遥感数据\遥感解译产品,遥感数据\卫星影像,0.8410586
东北地区10m分辨率主要作物分布数据集（2017-2019年）,陕西省1km格网土地适宜类空间分布数据（1980s）,遥感数据\遥感解译产品,陆地表层\土地利用/覆盖,0.32870966
东北地区10m分辨率主要作物分布数据集（2017-2019年）,浙江省100米分辨率土地覆被典型草地类型数据(2005年),遥感数据\遥感解译产品,遥感数据\遥感解译产品,1.0
东北地区10m分辨率主要作物分布数据集（2017-2019年）,吉林省100米分辨率土地覆被常绿针叶林类型数据(2005年),遥感数据\遥感解译产品,遥感数据\遥感解译产品,1.0
东北地区10m分辨率主要作物分布数据集（2017-2019年）,p185r081_2x19760129-陆地卫星遥感影像,遥感数据\遥感解译产品,遥感数据\卫星影像,0.8410586
东北地区10m分辨率主要作物分布数据集（2017-2019年）,p172r034_4x19830728-陆地卫星遥感影像,遥感数据\遥感解译产品,遥感数据\卫星影像,0.8410586
东北地区10m分辨率主要作物分布数据集（2017-2019年）,p044r025_1x19740731-陆地卫星遥感影像,遥感数据\遥感解译产品,遥感数据\卫星影像,0.8410586
东北地区10m分辨率主要作物分布数据集（2017-2019年）,中国各水资源一级区水质状况（2005年）,遥感数据\遥感解译产品,自然资源\水资源,0.21862257
东北地区10m分辨率主要作物分布数据集（2017-2019年）,p153r047_1x19730226-陆地卫星遥感影像,遥感数据\遥感解译产品,遥感数据\卫星影像,0.8410586
东北地区10m分辨率主要作物分布数据集（2017-2019年）,p034r027_2x19760806-陆地卫星遥感影像,遥感数据\遥感解译产品,遥感数据\卫星影像,0.8410586
东北地区10m分辨率主要作物分布数据集（2017-2019年）,p119r060_5x19901211-陆地卫星遥感影像,遥感数据\遥感解译产品,遥感数据\卫星影像,0.8410586
东北地区10m分辨率主要作物分布数据集（2017-2019年）,p087r014_2x19750724-陆地卫星遥感影像,遥感数据\遥感解译产品,遥感数据\卫星影像,0.8410586
东北地区10m分辨率主要作物分布数据集（2017-2019年）,p014r033_2x19750723-陆地卫星遥感影像,遥感数据\遥感解译产品,遥感数据\卫星影像,0.8410586
东北地区10m分辨率主要作物分布数据集（2017-2019年）,p116r017_1x19740503-陆地卫星遥感影像,遥感数据\遥感解译产品,遥感数据\卫星影像,0.8410586
东北地区10m分辨率主要作物分布数据集（2017-2019年）,p187r029_2x19780929-陆地卫星遥感影像,遥感数据\遥感解译产品,遥感数据\卫星影像,0.8410586
东北地区10m分辨率主要作物分布数据集（2017-2019年）,p174r025_2x19750704-陆地卫星遥感影像,遥感数据\遥感解译产品,遥感数据\卫星影像,0.8410586
东北地区10m分辨率主要作物分布数据集（2017-2019年）,p044r004_3x19790723-陆地卫星遥感影像,遥感数据\遥感解译产品,遥感数据\卫星影像,0.8410586
东北地区10m分辨率主要作物分布数据集（2017-2019年）,p155r010_5x19840731-陆地卫星遥感影像,遥感数据\遥感解译产品,遥感数据\卫星影像,0.8410586
东北地区10m分辨率主要作物分布数据集（2017-2019年）,p035r038_1x19730621-陆地卫星遥感影像,遥感数据\遥感解译产品,遥感数据\卫星影像,0.8410586
东北地区10m分辨率主要作物分布数据集（2017-2019年）,博斯腾湖沉积物碳酸盐碳氧同位素组成及碳酸盐，方解石和文石百分含量，Ca与Sr比值数据集（8500aBP以来）,遥感数据\遥感解译产品,古环境\海洋/湖泊记录,0.3172821
东北地区10m分辨率主要作物分布数据集（2017-2019年）,p098r075_1x19730612-陆地卫星遥感影像,遥感数据\遥感解译产品,遥感数据\卫星影像,0.8410586
东北地区10m分辨率主要作物分布数据集（2017-2019年）,p018r020_1x19740705-陆地卫星遥感影像,遥感数据\遥感解译产品,遥感数据\卫星影像,0.8410586
东北地区10m分辨率主要作物分布数据集（2017-2019年）,p118r073_1x19730227-陆地卫星遥感影像,遥感数据\遥感解译产品,遥感数据\卫星影像,0.8410586
东北地区10m分辨率主要作物分布数据集（2017-2019年）,中国公里格网30年平均月降水量分布数据（1961-1990年）,遥感数据\遥感解译产品,大气圈\气候:大气圈\降水,0.3483154
东北地区10m分辨率主要作物分布数据集（2017-2019年）,p182r066_1x19720910-陆地卫星遥感影像,遥感数据\遥感解译产品,遥感数据\卫星影像,0.8410586
东北地区10m分辨率主要作物分布数据集（2017-2019年）,p167r022_2x19750627-陆地卫星遥感影像,遥感数据\遥感解译产品,遥感数据\卫星影像,0.8410586
东北地区10m分辨率主要作物分布数据集（2017-2019年）,p037r022_1x19730623-陆地卫星遥感影像,遥感数据\遥感解译产品,遥感数据\卫星影像,0.8410586
东北地区10m分辨率主要作物分布数据集（2017-2019年）,p147r018_1x19730906-陆地卫星遥感影像,遥感数据\遥感解译产品,遥感数据\卫星影像,0.8410586
东北地区10m分辨率主要作物分布数据集（2017-2019年）,p135r041_5x19901109-陆地卫星遥感影像,遥感数据\遥感解译产品,遥感数据\卫星影像,0.8410586
东北地区10m分辨率主要作物分布数据集（2017-2019年）,p114r028_5x19890916-陆地卫星遥感影像,遥感数据\遥感解译产品,遥感数据\卫星影像,0.8410586
东北地区10m分辨率主要作物分布数据集（2017-2019年）,p030r045_3x19791007-陆地卫星遥感影像,遥感数据\遥感解译产品,遥感数据\卫星影像,0.8410586
东北地区10m分辨率主要作物分布数据集（2017-2019年）,p129r044_1x19731030-陆地卫星遥感影像,遥感数据\遥感解译产品,遥感数据\卫星影像,0.8410586
东北地区10m分辨率主要作物分布数据集（2017-2019年）,p010r029_1x19740329-陆地卫星遥感影像,遥感数据\遥感解译产品,遥感数据\卫星影像,0.8410586
东北地区10m分辨率主要作物分布数据集（2017-2019年）,贵州省1：25万县级行政区划数据(2014),遥感数据\遥感解译产品,陆地表层\基础地理,0.3523429
东北地区10m分辨率主要作物分布数据集（2017-2019年）,三峡库区1：25万乡镇政府（2015）,遥感数据\遥感解译产品,陆地表层\基础地理,0.3523429
东北地区10m分辨率主要作物分布数据集（2017-2019年）,p184r070_1x19720930-陆地卫星遥感影像,遥感数据\遥感解译产品,遥感数据\卫星影像,0.8410586
东北地区10m分辨率主要作物分布数据集（2017-2019年）,p171r015_5x19860806-陆地卫星遥感影像,遥感数据\遥感解译产品,遥感数据\卫星影像,0.8410586
东北地区10m分辨率主要作物分布数据集（2017-2019年）,p038r030_2x19790304-陆地卫星遥感影像,遥感数据\遥感解译产品,遥感数据\卫星影像,0.8410586
东北地区10m分辨率主要作物分布数据集（2017-2019年）,p156r048_1x19730106-陆地卫星遥感影像,遥感数据\遥感解译产品,遥感数据\卫星影像,0.8410586
东北地区10m分辨率主要作物分布数据集（2017-2019年）,p132r050_1x19730223-陆地卫星遥感影像,遥感数据\遥感解译产品,遥感数据\卫星影像,0.8410586
东北地区10m分辨率主要作物分布数据集（2017-2019年）,p123r035_5x19940929-陆地卫星遥感影像,遥感数据\遥感解译产品,遥感数据\卫星影像,0.8410586
东北地区10m分辨率主要作物分布数据集（2017-2019年）,p101r017_2x19750702-陆地卫星遥感影像,遥感数据\遥感解译产品,遥感数据\卫星影像,0.8410586
东北地区10m分辨率主要作物分布数据集（2017-2019年）,p019r038_1x19741004-陆地卫星遥感影像,遥感数据\遥感解译产品,遥感数据\卫星影像,0.8410586
东北地区10m分辨率主要作物分布数据集（2017-2019年）,p120r013_1x19730617-陆地卫星遥感影像,遥感数据\遥感解译产品,遥感数据\卫星影像,0.8410586
东北地区10m分辨率主要作物分布数据集（2017-2019年）,p186r016_3x19790405-陆地卫星遥感影像,遥感数据\遥感解译产品,遥感数据\卫星影像,0.8410586
东北地区10m分辨率主要作物分布数据集（2017-2019年）,p172r036_1x19721006-陆地卫星遥感影像,遥感数据\遥感解译产品,遥感数据\卫星影像,0.8410586
东北地区10m分辨率主要作物分布数据集（2017-2019年）,p041r005_2x19760726-陆地卫星遥感影像,遥感数据\遥感解译产品,遥感数据\卫星影像,0.8410586
东北地区10m分辨率主要作物分布数据集（2017-2019年）,p149r031_2x19750504-陆地卫星遥感影像,遥感数据\遥感解译产品,遥感数据\卫星影像,0.8410586
东北地区10m分辨率主要作物分布数据集（2017-2019年）,p137r032_5x19930624-陆地卫星遥感影像,遥感数据\遥感解译产品,遥感数据\卫星影像,0.8410586
东北地区10m分辨率主要作物分布数据集（2017-2019年）,p115r027_5x19910625-陆地卫星遥感影像,遥感数据\遥感解译产品,遥感数据\卫星影像,0.8410586
东北地区10m分辨率主要作物分布数据集（2017-2019年）,p031r039_2x19790701-陆地卫星遥感影像,遥感数据\遥感解译产品,遥感数据\卫星影像,0.8410586
