Subject,Predicate,Object
Bastnaesite,source,《地理辞典》
PhotosyntheticEffectiveRadiation,comment,植物光合有效辐射是指那些植物能够利用进行光合作用的太阳辐射范围。太阳辐射包括各种波长的光，但只有一部分光能够被植物的叶绿素吸收并用于光合作用。这部分被吸收的光称为光合有效辐射。通常，光合有效辐射集中在可见光范围内，主要是蓝光和红光。
TornadoFrequency,subClassOf,TornadoObservation
Homoscleromorpha,hasChineseName,同骨海绵纲
LandRecord,comment,土地中的沉积、岩石和化石可以用于还原过去的气候条件。
ExtremeTemperature,hasChineseName,极端气温
AdvectionFog,type,Class
NaturalAerosol,hasChineseName,天然气溶胶
MineralHardness,source,GCMDsciencekeywords_v16.0
MomentMagnitude,subClassOf,EarthquakeMagnitude
EpicenterDistance,type,Class
SeawaterPH,source,GCMDsciencekeywords_v16.0
SoilDensity,source,GCMDsciencekeywords_v16.0、《地球系统研究与科学数据》、《地球系统科学数据集成共享研究：标准视角》、SWEET
StonePillar,type,Class
WindPowerIndex,hasChineseName,风力指数
DetritalCone,hasChineseName,碎屑锥
SoilDepth,source,GCMDsciencekeywords_v16.0、《地球系统科学数据集成共享研究：标准视角》
WindPower,comment,风力是气候要素之一，表示大气中风的强度和速度。风力对气候区域性的气流、降水、气温等有重要影响。
MeridianCartesianCoordinateSystem,hasChineseName,子午面直角坐标系
BladeRidge,altLabel,刀岭
VolatileOrganicCompounds,type,Class
EscapeLayer,altLabel,外气层
N88a5dbce0f804c2287c7131c4f25f653,someValuesFrom,AgriculturalVegetationIndex
SpecificChronologicalDepth,source,GCMDsciencekeywords_v16.0
AnthropogenicSoilLandscape,subClassOf,SoilLandscape
Stress,comment,在连续介质力学里，应力定义为单位面积所承受的作用力。采用国际单位制，应力的单位是帕斯卡（Pa），等于1牛顿／平方公尺。应力的单位与压强的单位相同。两种物理量都是单位面积的作用力的度量。通常，在工程学里，使用的单位是megapascals（MPa）或gigapascals（GPa）。采用英制单位，应力的单位是磅力／平方英寸（psi）或千磅力／平方英寸（ksi）。
Coevolution,comment,共演化是指植物与其他生物体之间相互作用的过程，随着时间的推移，它们的特征和性状逐渐适应彼此，以更好地适应彼此的存在。这种现象在植物与传粉者（如昆虫、鸟类）之间的关系中尤其常见。例如，某些植物的花朵形状和颜色可能与特定传粉者的口部结构和视觉系统高度适应，这种适应性变化可能促使植物和传粉者共同进化。
SoilShrinkageExpansionCapacity,source,维基百科
SoilAeration,comment,土壤通气性是指土壤中空气的流动和交换程度。它与土壤孔隙度和土壤湿度有关。通气性良好的土壤能够提供足够的氧气给土壤中的根系和微生物，有助于维持土壤生态系统的健康。通气性差的土壤可能导致氧气供应不足，影响植物的生长和土壤生物的活动。
BlackMetal,source,《地球系统科学数据资源体系研究》、《地理辞典》
MangroveEcosystem,comment,红树林生态系统是位于潮间带的海岸生态系统，以红树林植物为主要特征。这些植物适应了盐水环境，它们的根系往往生长在水中，为许多海洋生物提供了栖息地和食物。红树林还有助于海岸线的稳定，防止土壤侵蚀，并提供了各种环境服务。
UnhealthyBehavior,subClassOf,HealthProblem
SurfaceWaterHydrologicalEvent,hasChineseName,地表水水文事件
PaleoclimateIndicatorType,type,Class
MoistureCondensation,comment,水汽凝结是指水汽从气态状态转变为液态状态的过程，通常发生在云中或在冷却的大气条件下。
N526a6a1b43d94c76873bb8348f0c8a03,onProperty,hasPossibleCause
PalmerDroughtIndex,subClassOf,DroughtIndex
WetlandWaterBodiesSalinity,subClassOf,WetlandElement
SubpolarCirculation,comment,亚极地环流位于极地地区的海洋，通常与寒冷的气候和冰层形成有关。这些环流也可能是寒流或凉流，取决于具体地理位置和季节。
Symbiosis,type,Class
AtmosphericElectricity,comment,大气电是指地球大气中存在的电荷或电子活动。
RedTide,subClassOf,TidalPhenomenon
Crevasse,source,维基百科
Spring,source,《地理辞典》
ColdTemperateEvergreenConiferousForestAndMixedForest,comment,寒温带常绿针叶林和混交林位于寒冷而气温适中的地区，包括了一些常绿的针叶树种和落叶树种的混交林地。
Radiometry,subClassOf,Na4809ae586ae4a8f8fc22da2478520e8
ServiceIndustry,subClassOf,TertiaryIndustry
GroundwaterRechargeFrequency,subClassOf,GroundwaterRecharge
WaveShoal,comment,当海浪进入较浅的水域时，波浪会发生变化，波高增加，波长减小，波速变慢，从而导致波浪浅滩。这种现象通常在接近海岸线或浅水区域发生。
OceanicEcosystem,subClassOf,MarineEcosystemType
ViralStructure,hasChineseName,病毒结构
Chlorine,hasChineseName,氯
AncientVegetation,comment,通过分析古植被化石和花粉样本，可以了解古代植被类型和气候条件。
AnticyclonicOceanCirculation,hasChineseName,反气旋型大洋环流
Hill,type,Class
PestInfestation,hasChineseName,虫害
TotalRadiation,hasChineseName,总辐射
SafiSimpsonScale,subClassOf,TropicalCycloneObservation
DesertEcosystem,hasChineseName,沙漠生态系统
Talus,subClassOf,N315b2b7a34d84472bd7e031778b2f021
RealEstate,source,《地理辞典》
SeaIce,subClassOf,HydrologicalDisaster
Boron,type,Class
AverageSurfaceFlow,subClassOf,SurfaceWaterFlow
SaltWaterIntrusion,type,Class
WaterPollutant,type,Class
SeawaterDepth,hasChineseName,海水深度
OceanWave,altLabel,波浪
MagmaticStructure,hasChineseName,岩浆结构
Trench,comment,"海沟是位于海洋中的两壁较陡、狭长的、水深大于5000米（如毛里求斯海沟5,564米）的沟槽。海沟多分布于活动的海洋板块边缘，在海洋板块与大陆板块的交界处，一般认为它是地球板块相互挤压所形成。世界大洋约有30条海沟，其中主要的有17条，属于太平洋的就有14条，环太平洋的地震带也都位于海沟附近。"
γ-Ray,altLabel,伽玛射线
CloudAltitude,equivalentClass,CloudBaseHeight
LowTide,comment,低潮是指海水达到最低水位的时刻。在低潮时，海水会退回到较远离海岸线的地方，暴露出海滩和岩石等海底部分。低潮也通常发生两次，分别是半日潮的两个低潮时刻。
NitrateParticles,hasChineseName,硝酸盐颗粒
UnhealthyBehavior,source,维基百科
OceanOpticalDepth,source,GCMDsciencekeywords_v16.0
Eutrophication,hasChineseName,富营养化
Estuary,type,Class
SeaBreezeHorizontalMotion,source,GCMDsciencekeywords_v16.0、SWEET
GroundwaterRechargeAmount,subClassOf,GroundwaterRecharge
HumidityClassification,source,GCMDsciencekeywords_v16.0、《地理辞典》、SWEET
HighAltitudeTemperatureType,subClassOf,HighAltitudeTemperature
Na7e645835688473cbb25aef029974d3a,type,Restriction
WaterVaporConcentrationDistribution,type,Class
BiologicalDisturbance,comment,生物扰动是指海底生物（如蠕虫、贝类和甲壳类动物）通过挖掘、寻找食物和建造巢穴等行为对沉积物进行改变的过程。这些行为可以混合和重新排列沉积物。
Nc1173a6bf4f445b398a8f58d0bc7d9bc,onProperty,influencedBy
WaterTemperature,hasChineseName,水温
EnergyResources,subClassOf,ResourceType
Peridotite,hasChineseName,橄榄岩
GeomagneticTotalStrength,subClassOf,GeomagneticPrediction
Fossil,subClassOf,Drill
MarinePlatform,hasChineseName,海蚀平台
SubmarinePlateMovement,subClassOf,Nd6c8114567a04566a8b6d623fb0147a0
SubmergedWaterLevel,type,Class
ExtremeStrongWindWeather,type,Class
SubmarineSedimentCharacteristics,type,Class
RiverTerrace,source,《地理辞典》
AquaticEcosystemComposition,source,《地球系统科学数据资源体系研究》
CoralRecord,type,Class
Neon,hasChineseName,氖气
AccidentalInjury,type,Class
N0a906d4002d74fc18d3f4443a483bb44,onProperty,causedBy
N3bb4b36de1cd41239712fbb1f863401c,someValuesFrom,DissolutionDepression
Photosynthesis,source,GCMDsciencekeywords_v16.0、《地理辞典》、《地球系统研究与科学数据》、《地球系统科学数据集成共享研究：标准视角》、维基百科
SoilThermalConductivity,source,GCMDsciencekeywords_v16.0、《地理辞典》、《地球系统科学数据集成共享研究：标准视角》
AirTemperature,type,Class
Root,comment,根是维管束植物的营养器官之一，通常位于地表下面，负责吸收土壤里面的水分及养分，并且具有运输、支持及贮存植株合成的有机物质的作用。当然，位于地表外的气生根（榕树）也属于根的一种。
AveragePrecipitation,comment,平均降水量表示特定地区或时间段内的平均每日或每月降水量。这个值有助于评估气候和降水模式。
SubtropicalHigh-PressureZone,source,维基百科
N1b728c4949904398ae59057654a8cd3a,type,Restriction
PrecipitationMorphology,comment,降水形态指的是降水的物理状态，包括雨、雪、冰雹等不同形式。
Steppe,comment,草原是以旱生草本植物占优势的一类草地生态系统，年降雨量一般为35毫米～550毫米，草原有高等植物800多种，降雨量、植物种类都要比荒漠多许多。可为野生动物提供生存场所的地区。主要的草原分布于亚欧大陆北部及北美中西部。
TotalElectronicContent,source,GCMDsciencekeywords_v16.0
Rostroconchia,subClassOf,Mollusca
TropicalMarineClimate,hasChineseName,热带海洋性气候
AntiTradeWind,comment,东北信风与东南信风在赤道附近辐合上升，在高空分向纬度较高方向流去，在地转偏向力的作用下，其风向分别与其低层信风风向相反，故名反信风。即北半球为西南反信风，南半球为西北反信风。
SeaSensibleHeatFlux,hasChineseName,海洋显热通量
Nf0d14674a085403582158469f65d076d,onProperty,influencedBy
EcologicalProtectionZoning,comment,生态保护区划是一种管理和保护特定地区生态系统的方法，旨在平衡人类活动和自然环境之间的关系，保护和维护生态系统的健康。
LacustrineSedimentation,subClassOf,LakeElement
NitrogenIsotope,hasChineseName,氮同位素
MoistHardLeavedForest,hasChineseName,潮湿硬叶林
Visibility,subClassOf,WeatherElement
TropicalCycloneStructure,source,维基百科
Nc1173a6bf4f445b398a8f58d0bc7d9bc,someValuesFrom,IceSnowDensity
Microclimate,hasChineseName,小气候
N9229ead36d6044ae9c932244bd4a01ad,onProperty,causedBy
PlantEcology,comment,植物生态是研究植物与其生存环境之间相互关系的科学领域。这包括了植物在生态系统中的分布、相互作用、适应性以及其对环境变化的响应。
WaterfrontLine,comment,海滨线通常指的是沙滩或岩石海岸上的地理界限，标志着海洋或湖泊与陆地的交界。它经常在潮汐和海浪的作用下发生变化，是众多生物和生态系统的栖息地和重要环境要素。
Glaciation,type,Class
Phosphate,subClassOf,MeteoriteComposition
FernPlant,source,GCMDsciencekeywords_v16.0、维基百科
Substratum,hasChineseName,底岩层
VolcanicGasObservation,subClassOf,VolcanoObservation
MeteoriteComposition,hasChineseName,陨石组成
Humus,source,《地理辞典》、《地球系统科学数据集成共享研究：标准视角》、维基百科
GeomagneticDeclination,comment,地磁偏角是指地球上任一处的磁北方向和正北方向之间的夹角。当地磁北向实际偏东时，地磁偏角为正，反之为负。
CoarseGrainedSoil,source,维基百科
TemperateGrassyClimate,subClassOf,ClimateType
WindDirection,source,GCMDsciencekeywords_v16.0、《地球系统科学数据资源体系研究》、《地理辞典》、《地球系统研究与科学数据》、SWEET、维基百科
SeaLevelAnomaly,hasChineseName,海面高度异常
AtmosphericCirculationType,comment,大气环流是指地球上大气层中的气流模式和运动方式。它通常根据地球上不同纬度区域的气流特征来分类。主要的大气环流类型包括赤道风带、副热带高压带、副热带低压带、中纬度西风带、极地东风带等。这些环流类型影响着气候和天气模式。
FiberCrop,source,《地理辞典》
WeatheredLayer,type,Class
Fissures,comment,裂隙性是指地下岩石或含水层中存在的裂隙、裂缝或断层。裂隙性可以影响地下水的流动和存储，通常与地下水资源的可利用性有关。
PlantComposition,hasChineseName,植物组成
PrecipitationMeasurement,source,GCMDsciencekeywords_v16.0、《地球系统科学数据集成共享研究：标准视角》、SWEET、维基百科
WaterVaporSublimation,hasChineseName,水蒸气升华
IceFall,subClassOf,GlaciationType
WetlandWaterBodyPHValue,comment,湿地水体的pH值是指水体的酸碱性水平，它反映了水中氢离子浓度的程度。不同的湿地类型可能有不同的水体pH值，对水生生物和湿地生态系统的健康和功能具有重要影响。
FalseTide,subClassOf,MeteorologicalTide
SeaIceOrigin,type,Class
Nec743f270e5d4966ae2968bb8b889ad0,type,Restriction
Microwave,comment,微波是指波长介于红外线和无线电波之间的电磁波。微波的频率范围大约在300MHz至300GHz之间，是涵盖UHF、SHF、EHF范围的一种射频。所对应的波长为1公尺至1mm之间。微波频率比无线电波频率高。微波作为一种电磁波也具有波粒二象性。微波的基本性质通常呈现为穿透、反射、吸收三个特性。对于玻璃、塑料和瓷器，微波几乎是穿越而不被吸收。对于水和食物等就会吸收微波而使自身发热。而对金属类东西，则会反射微波。微波在雷达科技、ADS射线武器、微波炉、等离子发生器、无线网络系统（如手机网络、蓝牙、卫星电视及无线区域网路技术等）、传感器系统上均有广泛的应用。在技术领域协定使用的四个频率分别为800MHz、2.45GHz、5.8GHz和13GHz。微波炉使用2.45GHz，此频率亦被作为ISM频段（工业、科学及医学用波段），使用在航空通讯领域。
ThermalMetamorphism,subClassOf,Metamorphism
SoilRootingDepth,source,GCMDsciencekeywords_v16.0
TemperateClimate,subClassOf,N5d255e151ca64c8e888341b92c04aa1c
PostalAndTelecommunicationsIndustry,source,《地理辞典》
SeasoningCrop,source,维基百科
TemperateDesertClimate,comment,温带沙漠气候通常位于大陆性内陆地区，距离海洋较远，但相对于热带沙漠而言，这些沙漠气候发生在更高的纬度上，接近温带区域。例如，蒙古沙漠和美国西南部的沙漠地区。这种气候通常表现为极端干燥和寒冷的冬季。降水非常有限，而且分布不均匀，导致土地上的植被很少。夏季通常炎热，但由于低降水量，夜晚温度可能急剧下降。
LandReclamation,comment,土地复垦是指对已受到破坏或废弃的土地进行修复和再利用的过程。这可以包括恢复植被、改善土壤质量和减轻土地扰动的影响。
WinklerMethod,source,维基百科
GroundwaterResources,hasChineseName,地下水资源量
Consumer,hasChineseName,消费者
Animal,hasChineseName,动物
RiverFlow,comment,yr）等单位来表示，反映了河流输送水的能力。
Swell,source,GCMDsciencekeywords_v16.0
Mutualism,comment,互利共生是指在生物界中某两物种间的一种互相依赖、双方获利的共生关系。互利共生是一种生态学中常见的关系，这种关系可以是长期的，包括物质接触或者生化联系。
RatioVegetationIndex,subClassOf,VegetationIndex
AtmosphericTurbulence,source,GCMDsciencekeywords_v16.0、《地球系统科学数据资源体系研究》、《地理辞典》、《地球系统研究与科学数据》、SWEET、维基百科
HumidityMeasurement,subClassOf,HumidityObservation
SeawaterDensityDistribution,type,Class
N923bb5d75d6343c995a875672d8b2546,onProperty,influencedBy
Magnetosphere,hasChineseName,磁层
GlacierPermafrost,type,Class
MeteorologicalClimate,hasChineseName,气象气候
NuclearEnergy,comment,核能通常指原子核的能量，可以透过核聚变、核裂变或放射性核衰变释放出来。
